Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
04-AUG-2026,25816.8,25816.8,25553.4,25719.15,497526150,37794.96
03-AUG-2026,25676.75,25880.65,25627.2,25880.45,585193754,42772.6
31-JUL-2026,25422.95,25532.65,25387.25,25486.35,664485821,49561.81
30-JUL-2026,25306,25393.95,25242.15,25368.75,582081514,44371.17
29-JUL-2026,25224.65,25338.35,25186.25,25307.05,628160943,46315.41
28-JUL-2026,25070.15,25118.95,25017.55,25046.95,709676245,51274.57
27-JUL-2026,25006,25099.05,24979.9,25088.6,544402972,35562.72
24-JUL-2026,24723.85,24901.8,24659.8,24840.75,545414757,39348.48
23-JUL-2026,24975.35,25083.8,24867.1,24932.5,530074195,38553.49
22-JUL-2026,25237.05,25247.15,25038.15,25069.65,517342882,35631.9
21-JUL-2026,25272.05,25322.7,25189.15,25263.45,544584293,38604.41
20-JUL-2026,25199.4,25309.75,25161.55,25286.45,708237314,42240.16
17-JUL-2026,25158,25362.05,25119.85,25327.65,610075286,40155.6
16-JUL-2026,25198.85,25247.75,25085.95,25109.2,509095062,40038.55
15-JUL-2026,25133.8,25266.1,25063.7,25130.1,599770717,39578.24
14-JUL-2026,25096.3,25173.45,25052.6,25088.65,590519015,43222.73
13-JUL-2026,25075.8,25283.2,25021,25240.8,545862235,39253.44
10-JUL-2026,25157.1,25271.25,25150.1,25255.1,569188588,36111.47
09-JUL-2026,24927.6,25132.8,24925.25,24989.25,595753619,44318.97
08-JUL-2026,25262.05,25322,24798.85,24883.05,746811062,47184.19
07-JUL-2026,25503.7,25524.6,25362.65,25409.65,661134026,47760.29
06-JUL-2026,25342.35,25496.05,25320.65,25464.45,568962951,37484.8
03-JUL-2026,25418.8,25418.8,25280.6,25301.9,634008639,41390.94
02-JUL-2026,25133.6,25245.7,25131.4,25230.2,639843159,42672.07
01-JUL-2026,24953.2,25105.95,24940.3,25065.1,614872237,39170.56
30-JUN-2026,25063,25063.05,24883.8,24915.6,730298441,52175.14
29-JUN-2026,25117.75,25157.05,24946.3,24976.7,1092731118,71905.21
25-JUN-2026,25182.75,25317.1,25096.25,25114.1,853385403,55442.67
24-JUN-2026,24880.7,25148.35,24872.7,25075.95,699145011,43132.28
23-JUN-2026,25182.55,25230.45,24867.45,24907.8,863585012,45721.64
22-JUN-2026,25182.6,25238.95,25147,25209.55,567558255,35477.64
19-JUN-2026,25071.45,25120,24969,25086.65,862129474,54963.03
18-JUN-2026,25142,25257.1,25089.4,25233.65,1042234175,43103.85
17-JUN-2026,25080.65,25154.7,25001.4,25141.8,911653040,42221.84
16-JUN-2026,24977.35,25044.95,24932.7,25029.9,857018623,38885.69
15-JUN-2026,24984.15,25076.45,24870.4,24907.85,933239814,50568.42
12-JUN-2026,24378.9,24625.5,24271.7,24602.25,632123197,41428.59
11-JUN-2026,24082.85,24270.2,24036.35,24104.7,642777280,39336.58
10-JUN-2026,24269.5,24433.4,24166.15,24200.75,632041403,42803.56
09-JUN-2026,24251,24309.3,24128.55,24275.6,702436887,44547.05
08-JUN-2026,24100,24285.05,24065.25,24111.1,614180814,37766.46
05-JUN-2026,24500.2,24544.6,24301.5,24397.3,665814523,41660.98
04-JUN-2026,24291.9,24486.8,24255.4,24427.7,639247729,43843.84
